Year,City,Population (in Lakhs) (2011)+,Murder,Kidnapping,Crime against women,Crime against children,Crime Committed by Juveniles,Crime against Senior Citizen,Crime against SC,Crime against ST,Economic Offences,Cyber Crimes
2010,Mumbai,184.1,108,760,2062,1025,359,200,92,10,1673,548
2011,Mumbai,184.1,148,1173,4583,2248,332,844,36,6,3927,2433
2012,Mumbai,184.1,103,665,2127,1016,326,200,66,8,1599,615
2013,Mumbai,184.1,95,692,2212,989,350,197,90,11,1614,582
2014,Mumbai,184.1,121,725,2215,994,354,204,95,9,1659,542
2015,Mumbai,184.1,110,705,2195,972,347,198,88,13,1601,548
2016,Mumbai,184.1,168,2102,6519,3640,611,1231,46,7,5556,2527
2017,Mumbai,184.1,113,781,2139,920,352,183,89,7,1662,527
2018,Mumbai,184.1,120,738,2152,914,309,203,85,14,1707,511
2019,Mumbai,184.1,164,2202,6058,3511,863,1043,33,0,4803,1482
2020,Mumbai,184.1,108,724,2080,1006,333,209,75,17,1662,548
2021,Mumbai,184.1,116,694,2203,972,334,229,72,9,1550,607
2022,Mumbai,184.1,96,721,2138,935,344,228,91,9,1623,545
1996,Nagpur,25.0,117,751,2238,990,330,220,84,11,1668,562
1997,Nagpur,25.0,90,536,1144,793,369,106,48,8,452,119
1998,Nagpur,25.0,92,509,1379,693,404,191,29,5,468,97
1999,Nagpur,25.0,96,778,2115,989,327,188,81,7,1647,582
2000,Nagpur,25.0,100,737,2201,985,332,184,83,10,1758,581
2001,Nagpur,25.0,97,334,920,582,274,147,42,3,506,243
2002,Nagpur,25.0,117,751,2238,990,330,220,84,11,1668,562
2003,Nagpur,25.0,107,734,2060,1034,336,220,73,11,1649,598
2004,Nagpur,25.0,109,720,2209,950,324,208,85,14,1636,538
2005,Nagpur,25.0,114,713,2254,1023,391,199,82,8,1690,550
2006,Nagpur,25.0,96,778,2115,989,327,188,81,7,1647,582
2007,Nagpur,25.0,96,778,2115,989,327,188,81,7,1647,582
2008,Nagpur,25.0,95,415,1156,936,351,250,35,7,541,192
2009,Nagpur,25.0,97,334,920,582,274,147,42,3,506,243
2010,Nagpur,25.0,121,667,2010,959,341,225,88,10,1649,551
2011,Nagpur,25.0,100,737,2201,985,332,184,83,10,1758,581
2012,Nagpur,25.0,95,415,1156,936,351,250,35,7,541,192
2013,Nagpur,25.0,120,694,2108,991,347,198,79,8,1608,537
2014,Nagpur,25.0,106,688,2129,978,328,186,92,6,1618,556
2015,Nagpur,25.0,97,334,920,582,274,147,42,3,506,243
2016,Nagpur,25.0,107,731,2222,998,322,214,80,9,1609,553
2017,Nagpur,25.0,95,415,1156,936,351,250,35,7,541,192
2018,Nagpur,25.0,96,690,2150,969,364,208,77,15,1685,563
2019,Nagpur,25.0,102,738,2130,940,332,216,97,14,1688,519
2020,Nagpur,25.0,107,731,2222,998,322,214,80,9,1609,553
2021,Nagpur,25.0,97,334,920,582,274,147,42,3,506,243
2022,Nagpur,25.0,96,693,2204,959,377,228,77,9,1593,553
1996,Patna,20.5,99,686,2171,995,337,198,86,9,1679,576
1997,Patna,20.5,120,685,2171,1002,324,211,72,10,1609,523
1998,Patna,20.5,100,710,2169,956,310,197,90,11,1604,522
1999,Patna,20.5,98,744,2087,999,318,194,74,6,1651,558
2000,Patna,20.5,115,733,2109,980,298,180,75,9,1681,584
2001,Patna,20.5,113,707,2137,944,325,207,77,10,1627,558
2002,Patna,20.5,90,646,2154,1006,367,180,69,5,1564,546
2003,Patna,20.5,118,696,2156,991,364,212,99,10,1642,564
2004,Patna,20.5,138,722,2053,973,355,187,79,7,1628,568
2005,Patna,20.5,118,719,2152,979,299,208,75,11,1616,529
2006,Patna,20.5,100,721,2106,971,332,230,80,8,1521,563
2007,Patna,20.5,205,599,1031,155,125,4,249,0,1163,84
2008,Patna,20.5,190,869,1340,191,143,0,321,0,1608,187
2009,Patna,20.5,98,753,2169,962,323,200,92,13,1622,547
2010,Patna,20.5,114,687,2251,952,306,211,82,8,1621,521
2011,Patna,20.5,195,822,1284,378,107,0,241,0,1292,167
2012,Patna,20.5,183,542,870,84,161,7,207,0,156,79
2013,Patna,20.5,100,693,2065,984,299,198,77,8,1594,572
2014,Patna,20.5,111,706,2247,967,332,213,81,5,1670,605
2015,Patna,20.5,91,806,956,102,9,0,97,0,1264,115
2016,Patna,20.5,96,795,981,255,15,0,109,0,1535,202
2017,Patna,20.5,79,427,495,127,28,0,71,0,1017,312
2018,Patna,20.5,76,549,487,137,9,0,66,0,1181,304
2019,Patna,20.5,83,709,2130,1016,390,175,98,6,1660,583
2020,Patna,20.5,98,733,2188,1005,331,220,76,11,1602,568
2021,Patna,20.5,105,739,2121,916,324,201,81,6,1710,586
2022,Patna,20.5,115,696,2193,923,316,175,61,5,1705,564
1996,Pune,50.5,106,723,2215,997,329,192,94,5,1719,533
1997,Pune,50.5,96,702,2079,1008,311,204,84,11,1588,544
1998,Pune,50.5,111,723,2211,944,309,194,91,18,1729,541
1999,Pune,50.5,104,704,2135,949,324,210,91,15,1660,522
2000,Pune,50.5,117,685,2180,1025,338,189,92,9,1664,581
2001,Pune,50.5,97,687,2186,958,341,212,87,12,1640,539
2002,Pune,50.5,91,708,2150,975,333,221,92,8,1592,550
2003,Pune,50.5,104,745,2231,1021,332,211,89,8,1732,566
2004,Pune,50.5,103,688,2106,952,318,220,74,12,1736,542
2005,Pune,50.5,98,695,2164,972,344,213,78,10,1654,540
2006,Pune,50.5,111,690,2153,967,323,187,75,15,1665,566
2007,Pune,50.5,109,669,2146,950,339,194,69,10,1625,509
2008,Pune,50.5,99,741,2170,1013,349,231,70,9,1601,576
2009,Pune,50.5,138,228,1327,437,437,267,55,0,862,140
2010,Pune,50.5,125,707,1984,1095,651,160,19,1,907,85
2011,Pune,50.5,130,851,2131,1180,749,189,41,1,1109,269
2012,Pune,50.5,110,964,2032,1335,715,178,28,1,1046,318
2013,Pune,50.5,104,704,2145,929,328,186,77,9,1585,595
2014,Pune,50.5,73,636,1481,877,483,169,31,1,777,153
2015,Pune,50.5,111,692,2140,964,334,182,85,6,1665,572
2016,Pune,50.5,74,655,1390,948,299,224,36,0,934,309
2017,Pune,50.5,105,699,2120,974,326,221,82,14,1687,542
2018,Pune,50.5,77,435,1055,665,243,123,27,1,480,238
2019,Pune,50.5,98,751,2121,1016,344,194,76,9,1671,540
2020,Pune,50.5,100,571,1616,835,288,150,32,2,705,225
2021,Pune,50.5,102,674,2228,942,327,223,60,7,1666,546
2022,Pune,50.5,110,694,2164,1008,321,196,79,5,1715,566
1996,Surat,45.8,85,263,694,398,282,114,6,11,380,79
1997,Surat,45.8,103,710,2214,984,306,195,77,7,1661,572
1998,Surat,45.8,125,720,2185,997,278,227,91,4,1611,576
1999,Surat,45.8,116,163,633,419,298,69,20,12,401,204
2000,Surat,45.8,115,761,2130,989,350,193,92,8,1637,549
2001,Surat,45.8,104,726,2150,971,346,216,82,5,1576,573
2002,Surat,45.8,108,373,712,1075,409,161,29,13,829,155
2003,Surat,45.8,123,713,2169,970,322,190,76,11,1580,589
2004,Surat,45.8,90,247,502,393,264,159,11,8,421,84
2005,Surat,45.8,102,270,565,415,217,110,19,9,456,66
2006,Surat,45.8,102,676,2213,987,351,217,82,10,1530,558
2007,Surat,45.8,111,759,2096,979,351,210,85,10,1682,577
2008,Surat,45.8,86,750,2163,1021,328,201,84,10,1565,516
2009,Surat,45.8,117,717,2113,949,362,210,72,12,1648,558
2010,Surat,45.8,93,715,2114,1003,333,198,86,12,1684,481
2011,Surat,45.8,89,332,559,526,436,131,32,10,719,105
2012,Surat,45.8,102,745,2159,962,348,216,74,9,1696,554
2013,Surat,45.8,103,739,2150,987,340,196,74,13,1673,552
2014,Surat,45.8,109,753,2108,1004,348,201,83,14,1703,546
2015,Surat,45.8,121,270,622,479,355,66,22,19,663,296
2016,Surat,45.8,94,724,2097,1011,359,201,81,14,1658,545
2017,Surat,45.8,101,742,2085,948,321,184,70,9,1662,525
2018,Surat,45.8,104,699,2162,1013,307,223,76,12,1629,560
2019,Surat,45.8,110,719,2238,943,340,207,68,10,1677,566
2020,Surat,45.8,88,743,2097,936,355,223,71,11,1621,551
2021,Surat,45.8,104,748,2074,981,330,181,82,8,1595,520
2022,Surat,45.8,97,358,1015,770,516,232,34,19,804,228
